SE2 1.0
3 16 0 
3.74106 10.2764 0.399281 
3.27063 15.8435 1.16737 
3.77819 11.3607 -1.75178 
1.8461 15.1537 2.42248 
4.53476 10.1698 3.0388 
10.2937 9.18393 -2.98783 
10.3336 10.7958 2.93273 
10.4616 11.8098 -2.09666 
8.93187 8.88657 -2.95953 
8.68661 3.38376 2.39818 
10.1938 7.62429 -2.73266 
8.30806 9.05912 -2.72908 
8.36294 14.7468 2.98795 
11.3804 10.1055 2.1177 
10.1612 14.975 -2.26302 
9.90503 9.56014 2.92003 
14.022 9.82212 0.194168 
18.0736 6.45817 1.60415 
16.0703 7.29362 -1.84385 
16 3 0.785398 

